   1   2
    -797099.00000000          0.00050845          0.00079505
    -795506.25000000          0.00050845          0.00079505
    -793913.50000000          0.00050839          0.00079460
    -792320.75000000          0.00050856          0.00079577
    -790728.00000000          0.00050840          0.00079553
    -789135.25000000          0.00050840          0.00079553
    -787542.50000000          0.00049972          0.00076271
    -785949.75000000          0.00043356          0.00041835
    -784357.00000000          0.00042069          0.00031758
    -782764.25000000          0.00041938          0.00030675
    -781171.50000000          0.00041742          0.00028814
    -779578.75000000          0.00041638          0.00028071
    -777986.00000000          0.00041582          0.00027430
    -776393.25000000          0.00041495          0.00026699
    -774800.50000000          0.00041471          0.00026403
    -773207.75000000          0.00041417          0.00025851
    -771615.00000000          0.00041397          0.00025673
    -770022.25000000          0.00041368          0.00025335
    -768429.50000000          0.00041368          0.00025335
    -766836.75000000          0.00041368          0.00025335
    -765244.00000000          0.00041368          0.00025335
    -763651.25000000          0.00041368          0.00025335
    -762058.50000000          0.00041368          0.00025335
    -760465.75000000          0.00041363          0.00025327
    -758873.00000000          0.00041339          0.00025231
    -757280.25000000          0.00041339          0.00025231
    -755687.50000000          0.00041339          0.00025231
    -754094.75000000          0.00041339          0.00025231
    -752502.00000000          0.00041321          0.00025067
    -750909.25000000          0.00041314          0.00025057
    -749316.50000000          0.00041310          0.00025048
    -747723.75000000          0.00041310          0.00025048
    -746131.00000000          0.00041307          0.00025039
    -744538.25000000          0.00041307          0.00025039
    -742945.50000000          0.00041295          0.00024995
    -741352.68750000          0.00041293          0.00024995
    -739759.93750000          0.00041293          0.00024995
    -738167.18750000          0.00041293          0.00024995
    -736574.43750000          0.00041293          0.00024995
    -734981.68750000          0.00041293          0.00024995
    -733388.93750000          0.00041293          0.00024995
    -731796.18750000          0.00041293          0.00024995
    -730203.43750000          0.00041293          0.00024995
    -728610.68750000          0.00041293          0.00024995
    -727017.93750000          0.00041293          0.00024995
    -725425.18750000          0.00041293          0.00024995
    -723832.43750000          0.00041290          0.00024985
    -722239.68750000          0.00041290          0.00024985
    -720646.93750000          0.00041290          0.00024985
    -719054.18750000          0.00041290          0.00024985
    -717461.43750000          0.00041282          0.00024963
    -715868.68750000          0.00041282          0.00024963
    -714275.93750000          0.00041282          0.00024963
    -712683.18750000          0.00041282          0.00024963
    -711090.43750000          0.00041282          0.00024963
    -709497.68750000          0.00041282          0.00024963
    -707904.93750000          0.00041282          0.00024963
    -706312.18750000          0.00041282          0.00024963
    -704719.43750000          0.00041282          0.00024963
    -703126.68750000          0.00041282          0.00024963
    -701533.93750000          0.00041282          0.00024963
    -699941.18750000          0.00041282          0.00024963
    -698348.43750000          0.00041282          0.00024963
    -696755.68750000          0.00041282          0.00024963
    -695162.93750000          0.00041282          0.00024963
    -693570.18750000          0.00041282          0.00024963
    -691977.43750000          0.00041282          0.00024963
    -690384.68750000          0.00041282          0.00024963
    -688791.93750000          0.00041282          0.00024963
    -687199.18750000          0.00041282          0.00024963
    -685606.43750000          0.00041282          0.00024963
    -684013.68750000          0.00041282          0.00024963
    -682420.93750000          0.00041282          0.00024963
    -680828.18750000          0.00041282          0.00024963
    -679235.43750000          0.00041282          0.00024963
    -677642.68750000          0.00041282          0.00024963
    -676049.93750000          0.00041282          0.00024963
    -674457.18750000          0.00041282          0.00024963
    -672864.43750000          0.00041282          0.00024963
    -671271.68750000          0.00041282          0.00024963
    -669678.93750000          0.00041282          0.00024963
    -668086.18750000          0.00041282          0.00024963
    -666493.43750000          0.00041282          0.00024963
    -664900.68750000          0.00041282          0.00024963
    -663307.93750000          0.00041285          0.00024966
    -661715.18750000          0.00041285          0.00024966
    -660122.43750000          0.00041285          0.00024966
    -658529.68750000          0.00041285          0.00024966
    -656936.87500000          0.00041285          0.00024966
    -655344.12500000          0.00041285          0.00024966
    -653751.37500000          0.00041285          0.00024966
    -652158.62500000          0.00041285          0.00024966
    -650565.87500000          0.00041285          0.00024966
    -648973.12500000          0.00041285          0.00024966
    -647380.37500000          0.00041285          0.00024966
    -645787.62500000          0.00041285          0.00024966
    -644194.87500000          0.00041285          0.00024966
    -642602.12500000          0.00041285          0.00024966
    -641009.37500000          0.00041285          0.00024966
    -639416.62500000          0.00041285          0.00024966
    -637823.87500000          0.00041285          0.00024966
    -636231.12500000          0.00041285          0.00024966
    -634638.37500000          0.00041285          0.00024966
    -633045.62500000          0.00041287          0.00024968
    -631452.87500000          0.00041297          0.00025003
    -629860.12500000          0.00041297          0.00025003
    -628267.37500000          0.00041297          0.00025003
    -626674.62500000          0.00041297          0.00025003
    -625081.87500000          0.00041297          0.00025003
    -623489.12500000          0.00041297          0.00025003
    -621896.37500000          0.00041297          0.00025003
    -620303.62500000          0.00041297          0.00025003
    -618710.87500000          0.00041297          0.00025003
    -617118.12500000          0.00041297          0.00025003
    -615525.37500000          0.00041297          0.00025003
    -613932.62500000          0.00041297          0.00025003
    -612339.87500000          0.00041297          0.00025003
    -610747.12500000          0.00041297          0.00025003
    -609154.37500000          0.00041296          0.00025002
    -607561.62500000          0.00041296          0.00025002
    -605968.87500000          0.00041296          0.00025002
    -604376.12500000          0.00041296          0.00025002
    -602783.37500000          0.00041296          0.00025002
    -601190.62500000          0.00041296          0.00025002
    -599597.87500000          0.00041296          0.00025002
    -598005.12500000          0.00041296          0.00025002
    -596412.37500000          0.00041298          0.00025008
    -594819.62500000          0.00041298          0.00025008
    -593226.87500000          0.00041298          0.00025008
    -591634.12500000          0.00041298          0.00025008
    -590041.37500000          0.00041298          0.00025008
    -588448.62500000          0.00043501          0.00041035
    -586855.87500000          0.00044031          0.00044381
    -585263.12500000          0.00045458          0.00054427
    -583670.37500000          0.00046628          0.00061281
    -582077.62500000          0.00058977          0.00112385
    -580484.87500000          0.00059354          0.00113506
    -578892.12500000          0.00049314          0.00076309
    -577299.37500000          0.00043593          0.00042066
    -575706.62500000          0.00042182          0.00028293
    -574113.87500000          0.00042005          0.00026509
    -572521.12500000          0.00042005          0.00026509
    -570928.37500000          0.00041972          0.00026036
    -569335.62500000          0.00041972          0.00026036
    -567742.87500000          0.00041947          0.00025749
    -566150.12500000          0.00041947          0.00025749
    -564557.37500000          0.00041947          0.00025749
    -562964.62500000          0.00041947          0.00025749
    -561371.87500000          0.00041947          0.00025749
    -559779.12500000          0.00041947          0.00025749
    -558186.37500000          0.00041947          0.00025749
    -556593.62500000          0.00041947          0.00025749
    -555000.87500000          0.00041947          0.00025749
    -553408.12500000          0.00041947          0.00025749
    -551815.37500000          0.00041947          0.00025749
    -550222.62500000          0.00041946          0.00025747
    -548629.87500000          0.00041946          0.00025747
    -547037.12500000          0.00041946          0.00025747
    -545444.37500000          0.00041946          0.00025747
    -543851.62500000          0.00041946          0.00025747
    -542258.87500000          0.00041946          0.00025747
    -540666.12500000          0.00041946          0.00025747
    -539073.37500000          0.00041946          0.00025747
    -537480.62500000          0.00041946          0.00025747
    -535887.87500000          0.00041946          0.00025747
    -534295.12500000          0.00041946          0.00025747
    -532702.37500000          0.00041946          0.00025747
