# Time history of BETA retrieved from samples.dat file and interpolated on T record.
#  Time [yrs]        Beta [ppmv/°Cyr]      Beta_std+       Beta_std-
-797099.000000 		 0.000201 	 0.000201 	 0.000201
-796467.000000 		 0.000201 	 0.000201 	 0.000201
-795202.000000 		 0.000201 	 0.000201 	 0.000201
-794608.000000 		 0.000201 	 0.000201 	 0.000201
-793260.000000 		 0.000201 	 0.000201 	 0.000201
-792943.000000 		 0.000201 	 0.000201 	 0.000201
-792081.000000 		 0.000201 	 0.000201 	 0.000201
-791491.000000 		 0.000201 	 0.000201 	 0.000201
-790538.000000 		 0.000201 	 0.000201 	 0.000201
-790153.000000 		 0.000201 	 0.000201 	 0.000201
-789381.000000 		 0.000201 	 0.000201 	 0.000201
-788887.000000 		 0.000201 	 0.000201 	 0.000201
-788033.000000 		 0.000201 	 0.000201 	 0.000201
-787805.000000 		 0.000201 	 0.000201 	 0.000201
-787076.000000 		 0.000201 	 0.000201 	 0.000201
-786587.000000 		 0.000201 	 0.000201 	 0.000201
-785789.000000 		 0.000201 	 0.000201 	 0.000201
-785413.000000 		 0.000201 	 0.000201 	 0.000201
-784692.000000 		 0.000201 	 0.000201 	 0.000201
-784147.000000 		 0.000201 	 0.000201 	 0.000201
-783263.000000 		 0.000201 	 0.000201 	 0.000201
-782059.000000 		 0.000201 	 0.000201 	 0.000201
-781535.000000 		 0.000201 	 0.000201 	 0.000201
-780612.000000 		 0.000201 	 0.000201 	 0.000201
-780268.000000 		 0.000201 	 0.000201 	 0.000201
-779364.000000 		 0.000201 	 0.000201 	 0.000201
-778798.000000 		 0.000201 	 0.000201 	 0.000201
-777900.000000 		 0.000201 	 0.000201 	 0.000201
-777556.000000 		 0.000201 	 0.000201 	 0.000201
-776636.000000 		 0.000201 	 0.000201 	 0.000201
-776037.000000 		 0.000201 	 0.000201 	 0.000201
-775051.000000 		 0.000201 	 0.000201 	 0.000201
-774548.000000 		 0.000201 	 0.000201 	 0.000201
-773680.000000 		 0.000201 	 0.000201 	 0.000201
-773043.000000 		 0.000201 	 0.000201 	 0.000201
-772076.000000 		 0.000201 	 0.000201 	 0.000201
-771708.000000 		 0.000201 	 0.000201 	 0.000201
-771260.000000 		 0.000201 	 0.000201 	 0.000201
-770994.000000 		 0.000201 	 0.000201 	 0.000201
-770724.000000 		 0.000201 	 0.000201 	 0.000201
-770447.000000 		 0.000201 	 0.000201 	 0.000201
-770133.000000 		 0.000201 	 0.000201 	 0.000201
-769787.000000 		 0.000201 	 0.000201 	 0.000201
-769514.000000 		 0.000201 	 0.000201 	 0.000201
-769050.000000 		 0.000201 	 0.000201 	 0.000201
-768655.000000 		 0.000201 	 0.000201 	 0.000201
-767737.000000 		 0.000201 	 0.000201 	 0.000201
