MOD:   CHAIN   MOVE      ACC      LPPD           LPPD0             LHNORM         LHNORM0  N  HPARAM
MOD:  1    660000    5                 0         137456.87500000            667.24987793           3576.19946289           3576.19946289     1        2.71051
MOD:  1    670000    2                 1            591.33007812            591.33007812           3610.55981445           3610.55981445     1        2.73656
MOD:  1    680000    1                 0            350.14691162            535.14904785           3761.36206055           3639.83105469     1        2.75874
MOD:  1    690000    1                 0            795.47186279            559.37139893           3527.30566406           3628.18896484     1        2.74992
MOD:  1    700000    3                 1            547.92700195            547.92700195           3635.24169922           3635.24169922     1        2.75526
MOD:  1    710000    2                 1            611.54376221            611.54376221           3602.26538086           3602.26538086     1        2.73027
MOD:  1    720000    1                 0            674.04266357            545.21478271           3572.76147461           3633.53198242     1        2.75397
MOD:  1    730000    3                 1            568.37792969            568.37792969           3622.90307617           3622.90307617     1        2.74591
MOD:  1    740000    4                -1            555.44195557            555.44195557           3623.87744141           3623.87744141     2        2.74665
MOD:  1    750000    3                 0           3810.23754883            600.20281982           3606.55419922           3606.55419922     1        2.73352
MOD:  1    760000    1                 0            397.20822144            618.85388184           3724.91333008           3597.87646484     1        2.72694
MOD:  1    770000    4                 1            569.74902344            569.74902344           3622.15136719           3622.15136719     1        2.74534
MOD:  1    780000    3                 0           7297.43457031            490.75701904           3664.49218750           3664.49218750     1        2.77743
MOD:  1    790000    2                 1            636.01928711            636.01928711           3590.72924805           3590.72924805     1        2.72153
MOD:  1    800000    4                 1            572.64874268            572.64874268           3620.26611328           3620.26611328     1        2.74391
MOD:  1    810000    2                 1            563.82122803            563.82122803           3624.60278320           3624.60278320     1        2.74720
MOD:  1    820000    4                -1            568.94274902            568.94274902           3623.65551758           3623.65551758     1        2.74648
MOD:  1    830000    2                 1            637.18896484            637.18896484           3589.40405273           3589.40405273     1        2.72052
MOD:  1    840000    3                 0          25040.92968750            599.27844238           3608.45458984           3608.45458984     1        2.73496
MOD:  1    850000    3                 1            591.73712158            591.73712158           3612.21459961           3612.21459961     1        2.73781
MOD:  1    860000    1                 0            676.38330078            551.34954834           3571.87890625           3630.43676758     1        2.75162
MOD:  1    870000    2                 1            590.09399414            590.09399414           3611.43530273           3611.43530273     1        2.73722
MOD:  1    880000    3                 0           7433.50683594            600.59027100           3608.21386719           3608.21386719     1        2.73478
MOD:  1    890000    5                 1            551.07946777            551.07946777           3630.92602539           3630.92602539     1        2.75199
MOD:  1    900000    3                 0           2448.14355469            560.58593750           3625.92749023           3625.92749023     1        2.74820
MOD:  1    910000    2                 1            633.34313965            633.34313965           3593.09252930           3593.09252930     1        2.72332
MOD:  1    920000    2                 1            552.11096191            552.11096191           3631.25537109           3631.25537109     1        2.75224
MOD:  1    930000    2                 1            549.61798096            549.61798096           3631.62280273           3631.62280273     1        2.75252
MOD:  1    940000    3                 0          23189.35742188            524.21057129           3645.18115234           3645.18115234     1        2.76280
MOD:  1    950000    4                 0            594.20135498            583.77728271           3615.83349609           3615.83349609     1        2.74055
MOD:  1    960000    1                 0            469.16333008            563.13879395           3678.06933594           3625.76147461     1        2.74808
MOD:  1    970000    3                 0          20073.10546875            583.43280029           3614.94897461           3614.94897461     1        2.73988
MOD:  1    980000    2                 1            518.54882812            518.54882812           3649.53540039           3649.53540039     1        2.76610
MOD:  1    990000    5                 1            515.07073975            515.07073975           3650.40136719           3650.40136719     1        2.76675
MOD:  1   1000000    4                 0            576.45721436            574.66925049           3619.07104492           3619.07104492     1        2.74301
MOD:  1   1010000    1                 1            581.10284424            581.10284424           3615.70971680           3615.70971680     1        2.74046
MOD:  1   1020000    5                 1            620.73510742            620.73510742           3597.49365234           3597.49365234     1        2.72665
MOD:  1   1030000    3                 0          21161.19726562            554.30731201           3628.95751953           3628.95751953     1        2.75050
MOD:  1   1040000    3                 0           7029.31347656            567.83972168           3622.70019531           3622.70019531     1        2.74576
MOD:  1   1050000    5                 1            546.92846680            546.92846680           3633.80957031           3633.80957031     1        2.75418
MOD:  1   1060000    4                 1            543.30206299            543.30206299           3637.64038086           3637.64038086     1        2.75708
